Scenario,Seed,Sweep,Value,D_total_ms,Substitutions,Deployments,AvgAccess_ms,AvgCompute_ms,AvgTrans_ms,AvgReturn_ms,Feasible
real_moe_uav,1,placement_profile,memory_heavy,3594.549988,374,49,51.469920,0.050674,25.339080,13.004076,True
real_moe_uav,2,redundancy_nu,0,4054.988197,308,49,51.543982,0.006505,37.133997,12.690220,True
real_moe_uav,2,redundancy_nu,0.1,3912.803077,341,49,51.543982,0.008194,33.577681,12.690220,True
real_moe_uav,2,redundancy_nu,0.3,3797.925862,384,49,51.543982,0.050826,32.402480,10.950858,True
real_moe_uav,2,redundancy_nu,0.5,3810.721443,383,49,51.543982,0.052359,32.611612,11.060082,True
real_moe_uav,2,redundancy_nu,0.7,3969.112322,377,49,51.543982,0.055918,34.737873,12.890035,True
real_moe_uav,2,scheduling_lambda,0,3362.414387,401,49,51.543982,0.049305,21.112687,11.354385,True
real_moe_uav,2,scheduling_lambda,0.05,3750.092793,386,49,51.543982,0.050598,31.243578,10.914162,True
real_moe_uav,2,scheduling_lambda,0.1,3797.925862,384,49,51.543982,0.050826,32.402480,10.950858,True
real_moe_uav,2,scheduling_lambda,0.2,4096.483989,335,49,51.543982,0.042759,39.339895,11.485464,True
real_moe_uav,2,scheduling_lambda,0.4,5938.429936,269,49,51.543982,0.027214,84.789934,12.099618,True
real_moe_uav,2,remote_eta,0,3783.336657,373,49,51.543982,0.051404,32.363911,10.624119,True
real_moe_uav,2,remote_eta,0.25,3797.945912,384,49,51.543982,0.051327,32.402480,10.950858,True
real_moe_uav,2,remote_eta,0.5,3797.925862,384,49,51.543982,0.050826,32.402480,10.950858,True
real_moe_uav,2,remote_eta,0.75,3797.961878,385,49,51.543982,0.051726,32.402480,10.950858,True
real_moe_uav,2,remote_eta,1,3780.181263,388,49,51.543982,0.051643,31.958048,10.950858,True
real_moe_uav,2,placement_profile,default,3797.925862,384,49,51.543982,0.050826,32.402480,10.950858,True
real_moe_uav,2,placement_profile,demand_heavy,3573.069203,374,49,51.543982,0.050765,25.355965,12.376017,True
real_moe_uav,2,placement_profile,compute_heavy,3751.500750,383,49,51.543982,0.052880,31.824502,10.366155,True
real_moe_uav,2,placement_profile,network_heavy,3573.069203,374,49,51.543982,0.050765,25.355965,12.376017,True
real_moe_uav,2,placement_profile,memory_heavy,3572.390147,374,49,51.543982,0.050674,25.339080,12.376017,True
real_moe_uav,3,redundancy_nu,0,4053.056644,308,49,51.474727,0.006505,37.133997,12.711186,True
real_moe_uav,3,redundancy_nu,0.1,3910.871524,341,49,51.474727,0.008194,33.577681,12.711186,True
real_moe_uav,3,redundancy_nu,0.3,3805.530660,384,49,51.474727,0.050826,32.402480,11.210233,True
real_moe_uav,3,redundancy_nu,0.5,3817.279686,383,49,51.474727,0.052359,32.611612,11.293293,True
real_moe_uav,3,redundancy_nu,0.7,3966.185305,377,49,51.474727,0.055918,34.737873,12.886114,True
real_moe_uav,3,scheduling_lambda,0,3371.994104,401,49,51.474727,0.049305,21.112687,11.663133,True
real_moe_uav,3,scheduling_lambda,0.05,3757.013076,386,49,51.474727,0.050598,31.243578,11.156424,True
real_moe_uav,3,scheduling_lambda,0.1,3805.530660,384,49,51.474727,0.050826,32.402480,11.210233,True
real_moe_uav,3,scheduling_lambda,0.2,4101.072294,335,49,51.474727,0.042759,39.339895,11.669427,True
real_moe_uav,3,scheduling_lambda,0.4,5945.901550,269,49,51.474727,0.027214,84.789934,12.355663,True
real_moe_uav,3,remote_eta,0,3786.555368,373,49,51.474727,0.051404,32.363911,10.773842,True
real_moe_uav,3,remote_eta,0.25,3805.550710,384,49,51.474727,0.051327,32.402480,11.210233,True
real_moe_uav,3,remote_eta,0.5,3805.530660,384,49,51.474727,0.050826,32.402480,11.210233,True
real_moe_uav,3,remote_eta,0.75,3805.566676,385,49,51.474727,0.051726,32.402480,11.210233,True
real_moe_uav,3,remote_eta,1,3787.786061,388,49,51.474727,0.051643,31.958048,11.210233,True
real_moe_uav,3,placement_profile,default,3805.530660,384,49,51.474727,0.050826,32.402480,11.210233,True
real_moe_uav,3,placement_profile,demand_heavy,3587.593074,374,49,51.474727,0.050765,25.355965,12.808369,True
real_moe_uav,3,placement_profile,compute_heavy,3762.984810,383,49,51.474727,0.052880,31.824502,10.722511,True
real_moe_uav,3,placement_profile,network_heavy,3587.593074,374,49,51.474727,0.050765,25.355965,12.808369,True
real_moe_uav,3,placement_profile,memory_heavy,3586.914017,374,49,51.474727,0.050674,25.339080,12.808369,True
real_moe_uav,4,redundancy_nu,0,4053.711889,308,49,51.483628,0.006505,37.133997,12.718666,True
real_moe_uav,4,redundancy_nu,0.1,3911.526769,341,49,51.483628,0.008194,33.577681,12.718666,True
real_moe_uav,4,redundancy_nu,0.3,3792.542645,384,49,51.483628,0.050826,32.402480,10.876632,True
real_moe_uav,4,redundancy_nu,0.5,3804.795805,383,49,51.483628,0.052359,32.611612,10.972295,True
real_moe_uav,4,redundancy_nu,0.7,3966.949057,377,49,51.483628,0.055918,34.737873,12.896307,True
real_moe_uav,4,scheduling_lambda,0,3364.961376,401,49,51.483628,0.049305,21.112687,11.478414,True
real_moe_uav,4,scheduling_lambda,0.05,3744.533153,386,49,51.483628,0.050598,31.243578,10.835525,True
real_moe_uav,4,scheduling_lambda,0.1,3792.542645,384,49,51.483628,0.050826,32.402480,10.876632,True
real_moe_uav,4,scheduling_lambda,0.2,4091.711268,335,49,51.483628,0.042759,39.339895,11.426500,True
